

n: 1000 gestosc: 0,2

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0518677   00:00:00.0615116   00:00:00.0829390   00:00:00.3286785   7199079
00:00:00.0498821   00:00:00.0599195   00:00:00.0826395   00:00:00.3259530   7200800
00:00:00.0509476   00:00:00.0603319   00:00:00.0793155   00:00:00.3162921   7200469
00:00:00.0534365   00:00:00.0688048   00:00:00.0842964   00:00:00.3317711   7201043
00:00:00.0842727   00:00:00.0620785   00:00:00.0857435   00:00:00.3298870   7195602
00:00:00.0530181   00:00:00.0697569   00:00:00.0817704   00:00:00.3278118   7197454
00:00:00.0564097   00:00:00.0707568   00:00:00.0951097   00:00:00.3436613   7197608
00:00:00.0529786   00:00:00.0610253   00:00:00.0908774   00:00:00.3325403   7199417



n: 7000 gestosc: 0,2

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0445749   00:00:00.0434920   00:00:00.0564086   00:00:00.2628153   4900051
00:00:00.0391787   00:00:00.0518776   00:00:00.0564986   00:00:00.2601917   4897886
00:00:00.0362781   00:00:00.0423767   00:00:00.0570407   00:00:00.2669105   4900750
00:00:00.0364958   00:00:00.0429997   00:00:00.0595315   00:00:00.2642205   4900499
00:00:00.0630231   00:00:00.0503345   00:00:00.0818087   00:00:00.2696554   4898287
00:00:00.0388919   00:00:00.0481308   00:00:00.0619991   00:00:00.2533954   4899803
00:00:00.1059336   00:00:00.0412310   00:00:00.0581867   00:00:00.2582093   4898048
00:00:00.0366681   00:00:00.0440020   00:00:00.0579556   00:00:00.2592593   4898918
00:00:00.0361328   00:00:00.0399028   00:00:00.0554075   00:00:00.2541326   4899748
00:00:00.0394584   00:00:00.0537838   00:00:00.0608325   00:00:00.2555738   4899551



n: 7000 gestosc: 0,4

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0689190   00:00:00.0818364   00:00:00.1139451   00:00:00.4373816   9799246
00:00:00.0745459   00:00:00.0836916   00:00:00.1301039   00:00:00.4543278   9797492
00:00:00.0690964   00:00:00.0877354   00:00:00.1263725   00:00:00.4605413   9793896
00:00:00.0994190   00:00:00.0934259   00:00:00.1305401   00:00:00.4646689   9801047
00:00:00.0709212   00:00:00.0907245   00:00:00.1173872   00:00:00.4501504   9798645
00:00:00.0654136   00:00:00.0805026   00:00:00.1094094   00:00:00.4448632   9793020
